,,object_name,object_color,placement,micro avg,macro avg,weighted avg,pipeline,split
1,precision,0.9897435897435891,0.9913043478260871,0.922077922077922,0.976744186046511,0.9677086198825321,0.9770241127214581,custom,0
1,recall,0.9846938775510201,1.0,0.9466666666666661,0.981818181818181,0.9771201814058951,0.981818181818181,custom,0
1,f1-score,0.9872122762148331,0.9956331877729251,0.934210526315789,0.9792746113989631,0.9723519967678491,0.9793807247218311,custom,0
2,precision,0.984924623115577,0.9915966386554621,0.957746478873239,0.9820051413881741,0.9780892468814261,0.9819955195066041,custom,0
2,recall,0.9751243781094521,1.0,0.957746478873239,0.9794871794871791,0.9776236189942301,0.9794871794871791,custom,0
2,f1-score,0.98,0.9957805907172991,0.957746478873239,0.9807445442875481,0.977842356530179,0.980723358217029,custom,0
3,precision,1.0,0.9816513761467891,0.9864864864864861,0.9919786096256681,0.9893792875444251,0.9921570671205371,custom,0
3,recall,0.9597989949748741,1.0,0.948051948051948,0.968668407310704,0.969283647675607,0.968668407310704,custom,0
3,f1-score,0.9794871794871791,0.99074074074074,0.9668874172185431,0.9801849405548211,0.979038445815487,0.980098013323853,custom,0
1,precision,0.979695431472081,0.9913043478260871,0.935064935064935,0.9742930591259641,0.9686882381210341,0.9744386242872001,custom,10
1,recall,0.9846938775510201,1.0,0.96,0.9844155844155841,0.9815646258503401,0.9844155844155841,custom,10
1,f1-score,0.9821882951653941,0.9956331877729251,0.9473684210526311,0.979328165374676,0.975063301330317,0.9793862878895531,custom,10
2,precision,0.9801980198019801,0.9915966386554621,0.9189189189189191,0.9721518987341771,0.9635711924587871,0.972490893807143,custom,10
2,recall,0.985074626865671,1.0,0.957746478873239,0.9846153846153841,0.9809403685796371,0.9846153846153841,custom,10
2,f1-score,0.9826302729528531,0.9957805907172991,0.937931034482758,0.9783439490445861,0.9721139660509701,0.9784715333754891,custom,10
3,precision,0.9899497487437181,1.0,0.985915492957746,0.9920424403183021,0.9919550805671551,0.991946456808737,custom,10
3,recall,0.9899497487437181,1.0,0.9090909090909091,0.976501305483028,0.9663468859448751,0.976501305483028,custom,10
3,f1-score,0.9899497487437181,1.0,0.945945945945945,0.9842105263157891,0.978631898229888,0.9839108037541451,custom,10
1,precision,0.9894736842105261,0.982758620689655,0.9210526315789471,0.9738219895287951,0.964428312159709,0.974156551252739,custom,30
1,recall,0.959183673469387,1.0,0.9333333333333331,0.9662337662337661,0.9641723356009071,0.9662337662337661,custom,30
1,f1-score,0.9740932642487041,0.9913043478260861,0.9271523178807941,0.9700130378096481,0.9641833099851951,0.9700451929505961,custom,30
2,precision,0.9797979797979791,0.9831932773109241,0.956521739130434,0.9766839378238341,0.9731709987464461,0.9765878054880611,custom,30
2,recall,0.9651741293532331,0.991525423728813,0.929577464788732,0.9666666666666661,0.96209233929026,0.9666666666666661,custom,30
2,f1-score,0.9724310776942351,0.9873417721518981,0.9428571428571421,0.9716494845360821,0.9675433309010921,0.9715585458290321,custom,30
3,precision,0.9896907216494841,0.9727272727272721,0.986111111111111,0.984042553191489,0.9828430351626221,0.9842319251843891,custom,30
3,recall,0.964824120603015,1.0,0.922077922077922,0.9660574412532631,0.9623006808936451,0.9660574412532631,custom,30
3,f1-score,0.9770992366412211,0.9861751152073731,0.9530201342281881,0.9749670619235831,0.9720981620255941,0.974793827034888,custom,30
1,precision,0.9892473118279571,0.9741379310344821,0.923076923076923,0.9710526315789471,0.96215405531312,0.971883029836311,custom,50
1,recall,0.9387755102040811,0.9912280701754381,0.96,0.9584415584415581,0.9633345267931731,0.9584415584415581,custom,50
1,f1-score,0.963350785340314,0.9826086956521731,0.9411764705882351,0.9647058823529411,0.9623786505269071,0.9647334559095241,custom,50
2,precision,0.984375,0.991525423728813,0.928571428571428,0.976315789473684,0.9681572841000801,0.976379349816849,custom,50
2,recall,0.9402985074626861,0.991525423728813,0.9154929577464781,0.9512820512820511,0.9491056296459931,0.9512820512820511,custom,50
2,f1-score,0.9618320610687021,0.991525423728813,0.9219858156028371,0.9636363636363631,0.9584477668001171,0.9635621466220781,custom,50
3,precision,0.9789473684210521,0.9727272727272721,0.9857142857142851,0.978378378378378,0.9791296422875371,0.9785700900720821,custom,50
3,recall,0.9346733668341701,1.0,0.8961038961038961,0.9451697127937331,0.943592420979355,0.9451697127937331,custom,50
3,f1-score,0.956298200514138,0.9861751152073731,0.9387755102040811,0.96148738379814,0.960416275308531,0.9611221762799391,custom,50
1,precision,1.0,0.973214285714285,0.922077922077922,0.9752066115702471,0.9650974025974021,0.9768890200708381,custom,70
1,recall,0.8877551020408161,0.9561403508771931,0.9466666666666661,0.9194805194805191,0.9301873731948921,0.9194805194805191,custom,70
1,f1-score,0.94054054054054,0.964601769911504,0.934210526315789,0.9465240641711231,0.9464509455892781,0.9464320446481601,custom,70
2,precision,0.9572192513368981,0.964912280701754,0.951612903225806,0.958677685950413,0.9579148117548191,0.9585262430014251,custom,70
2,recall,0.8905472636815921,0.9322033898305081,0.8309859154929571,0.892307692307692,0.8845788563350191,0.892307692307692,custom,70
2,f1-score,0.9226804123711341,0.9482758620689651,0.887218045112782,0.924302788844621,0.9193914398509601,0.9239687072147261,custom,70
3,precision,0.9893048128342241,0.9722222222222221,0.956521739130434,0.9780219780219781,0.9726829247289601,0.9779415390204491,custom,70
3,recall,0.9296482412060301,0.981308411214953,0.8571428571428571,0.929503916449086,0.9226998365212801,0.929503916449086,custom,70
3,f1-score,0.9585492227979271,0.976744186046511,0.9041095890410961,0.9531459170013381,0.9464676659618451,0.952687628198247,custom,70
